Points_0,Points_1,Points_2,TI,U_0,U_1,U_2,U_Magnitude,k,p
466.2,-1008,90.314,0.0799973,8.02225,-0.00118736,0.00073493,8.02225,0.614359,-0.0242824
478.8,-1008,90.314,0.0799955,8.02235,-0.00113518,0.000712747,8.02235,0.61433,-0.0250184
491.4,-1008,90.314,0.0799936,8.02244,-0.00108388,0.000690721,8.02244,0.614302,-0.0257034
504,-1008,90.314,0.0799918,8.02252,-0.00103343,0.000668775,8.02252,0.614274,-0.0263385
516.6,-1008,90.314,0.07999,8.0226,-0.0009839,0.000647016,8.0226,0.614246,-0.0269253
529.2,-1008,90.314,0.0799881,8.02267,-0.00093536,0.000625443,8.02267,0.614217,-0.0274654
541.8,-1008,90.314,0.0799863,8.02274,-0.000887901,0.000604005,8.02274,0.614189,-0.0279602
554.4,-1008,90.314,0.0799844,8.0228,-0.000841724,0.000582803,8.0228,0.614161,-0.0284103
567,-1008,90.314,0.0799826,8.02286,-0.000796642,0.000561786,8.02286,0.614132,-0.0288175
579.6,-1008,90.314,0.0799807,8.02292,-0.000752755,0.000541031,8.02292,0.614104,-0.029184
592.2,-1008,90.314,0.0799789,8.02297,-0.000710135,0.000520445,8.02297,0.614075,-0.0295099
604.8,-1008,90.314,0.079977,8.02301,-0.000668706,0.000500158,8.02301,0.614047,-0.0297976
617.4,-1008,90.314,0.0799752,8.02305,-0.000628618,0.000480198,8.02305,0.614019,-0.0300481
630,-1008,90.314,0.0799733,8.02309,-0.000589825,0.000460654,8.02309,0.61399,-0.0302631
642.6,-1008,90.314,0.0799715,8.02312,-0.000552423,0.000441587,8.02312,0.613962,-0.0304428
655.2,-1008,90.314,0.0799696,8.02315,-0.000516111,0.000422673,8.02315,0.613933,-0.0305875
667.8,-1008,90.314,0.0799678,8.02317,-0.000480788,0.000403211,8.02317,0.613905,-0.0306961
680.4,-1008,90.314,0.0799659,8.02319,-0.000447174,0.000384865,8.02319,0.613877,-0.0307739
693,-1008,90.314,0.0799641,8.02321,-0.000413421,0.000365565,8.02321,0.613848,-0.0308215
705.6,-1008,90.314,0.0799622,8.02323,-0.000383599,0.000347953,8.02323,0.61382,-0.0308468
718.2,-1008,90.314,0.0799604,8.02324,-0.000350243,0.000328574,8.02324,0.613792,-0.0308408
730.8,-1008,90.314,0.0799585,8.02325,-0.000325003,0.000311117,8.02325,0.613763,-0.0308097
743.4,-1008,90.314,0.0799567,8.02325,-0.000298722,0.000294388,8.02325,0.613735,-0.0307553
756,-1008,90.314,0.0799549,8.02326,-0.000262762,0.000274193,8.02326,0.613707,-0.030675
768.6,-1008,90.314,0.0799531,8.02326,-0.000233666,0.000256774,8.02326,0.613679,-0.0305877
781.2,-1008,90.314,0.0799512,8.02326,-0.000209106,0.00024085,8.02326,0.613651,-0.0304694
793.8,-1008,90.314,0.0799494,8.02325,-0.000186486,0.000225679,8.02325,0.613623,-0.0303279
806.4,-1008,90.314,0.0799476,8.02325,-0.00016124,0.000208661,8.02325,0.613595,-0.0301726
819,-1008,90.314,0.0799458,8.02324,-0.000138833,0.000193425,8.02324,0.613568,-0.0299886
831.6,-1008,90.314,0.079944,8.02323,-0.000117744,0.000178685,8.02323,0.61354,-0.0297904
844.2,-1008,90.314,0.0799422,8.02322,-9.72363e-05,0.000163424,8.02322,0.613513,-0.0295812
856.8,-1008,90.314,0.0799404,8.02321,-7.79194e-05,0.0001492,8.02321,0.613485,-0.0293516
